ETG4842 ETG29382
ETG499417 ETG300079
ETG499417 ETG295230
ETG499417 ETG24644
ETG499417 ETG29662
ETG499417 ETG65262
ETG499417 ETG79250
ETG499417 ETG287436
ETG499417 ETG64303
ETG499417 ETG81829
ETG499417 ETG81754
ETG499417 ETG369017
ETG499417 ETG60374
ETG499417 ETG114612
ETG499417 ETG294864
ETG499417 ETG288778
ETG499417 ETG293725
ETG499417 ETG362952
ETG499417 ETG295347
ETG499417 ETG171374
ETG499417 ETG316531
ETG499417 ETG294810
ETG499417 ETG360678
ETG499417 ETG287765
ETG499417 ETG300674
ETG499417 ETG287835
ETG499417 ETG291691
ETG499417 ETG450225
ETG499417 ETG140654
ETG499417 ETG293502
ETG499417 ETG301442
ETG499417 ETG291874
ETG499417 ETG298648
ETG499417 ETG308384
ETG499417 ETG362965
ETG499417 ETG64185
ETG499417 ETG317259
ETG499417 ETG315936
ETG499417 ETG114766
ETG499417 ETG363005
ETG499417 ETG29150
ETG499417 ETG299052
ETG499417 ETG308650
ETG499417 ETG314432
ETG499417 ETG360950
ETG499417 ETG361596
ETG499417 ETG314442
ETG499417 ETG499423
ETG499417 ETG297756
ETG499417 ETG499417
ETG499417 ETG289352
ETG499417 ETG293165
ETG499417 ETG290046
ETG499417 ETG362631
ETG499417 ETG311071
ETG499417 ETG63836
ETG499417 ETG353256
ETG499417 ETG501621
ETG499417 ETG305506
ETG499417 ETG308870
ETG499417 ETG361630
ETG499417 ETG499374
ETG499417 ETG365894
ETG499417 ETG315713
ETG499417 ETG500983
ETG499417 ETG300833
ETG499417 ETG316273
ETG499417 ETG84576
ETG499417 ETG497865
ETG499417 ETG26198
ETG499417 ETG291081
ETG499417 ETG500084
ETG499417 ETG306079
ETG499417 ETG300250
ETG499417 ETG64517
ETG499417 ETG288532
ETG499417 ETG301252
ETG499417 ETG24400
ETG499417 ETG117280
ETG499417 ETG362361
ETG499417 ETG287709
ETG499417 ETG288105
ETG499417 ETG295607
ETG499417 ETG361103
ETG499417 ETG361849
ETG499417 ETG292160
ETG499417 ETG308404
ETG499417 ETG297336
ETG499417 ETG360801
ETG499417 ETG314598
ETG499417 ETG304809
ETG499417 ETG304074
ETG499417 ETG304859
ETG499417 ETG314384
ETG499417 ETG317335
ETG499417 ETG307820
ETG499417 ETG314423
ETG499417 ETG361522
ETG499417 ETG116655
ETG499417 ETG29515
ETG499417 ETG679712
ETG499417 ETG363194
ETG499417 ETG117042
ETG499417 ETG307474
ETG499417 ETG500569
ETG499417 ETG308508
ETG499417 rCG_25758
ETG499417 ETG80846
ETG499417 ETG362827
ETG499417 ETG314910
ETG499417 ETG683788
ETG499417 ETG116698
ETG499417 ETG291556
ETG499417 ETG64204
ETG499417 ETG751812
ETG499417 ETG29728
ETG499417 ETG306007
ETG499417 ETG361100
ETG499417 ETG303241
ETG499417 ETG690116
ETG499417 ETG679539
ETG499417 ETG680097
ETG499417 ETG687295
ETG499417 ETG689108
ETG499417 ETG688509
ETG499417 ETG362298
ETG499417 ETG316732
ETG499417 ETG681410
ETG499417 ETG100360950
ETG499417 ETG684969
ETG499417 ETG308839
ETG499417 ETG309197
ETG499417 ETG499523
ETG499417 ETG100363379
ETG499417 ETG297113
ETG499417 ETG500242
ETG499417 ETG682787
ETG499417 ETG100359916
ETG499417 ETG501403
ETG499417 ETG362332
ETG499417 ETG50662
ETG499417 ETG116698
ETG84584 ETG301442
ETG309295 ETG301442
ETG361295 ETG362827
ETG691903 ETG362827
ETG362827 ETG301442
ETG362827 ETG361295
ETG362827 ETG691903
ETG691903 ETG84584
ETG84584 ETG50522
ETG218503 ETG313474
ETG25573 ETG246150
ETG25573 ETG246150
ETG380450 ETG246150
ETG246150 ETG25573
ETG246150 ETG25573
ETG24451 ETG50522
ETG50522 ETG24451
ETG8452 ETG81807
ETG8452 ETG64525
ETG99375 ETG64525
ETG8065 ETG64525
ETG25562 ETG64525
ETG25562 ETG81807
ETG25562 ETG25562
ETG25562 ETG8065
ETG10018 ETG361970
ETG361970 ETG64547
ETG361970 ETG10018
ETG64547 ETG50522
ETG25489 ETG79039
ETG25489 ETG90933
ETG25489 DC12
ETG25489 ETG9014
ETG25489 UNQ3115/PRO10196
ETG25489 ETG6769
ETG25489 ETG3005
ETG25489 ETG1983
ETG25489 ETG55803
ETG25489 ETG9040
ETG25489 ETG5638
ETG25489 ETG146227
ETG25489 ETG2287
ETG25489 RP1-233K16.1
ETG25489 ETG8550
ETG25489 ETG2257
ETG25489 ETG657
ETG25489 ETG1020
ETG25489 ETG5481
ETG25489 ETG26519
ETG25489 ETG9616
ETG25489 HSPC286
ETG25489 ETG404093
ETG25489 ETG55810
ETG25489 ETG10572
ETG25489 ETG65997
ETG25489 ETG4133
ETG25489 ETG84309
ETG25489 FP15621
ETG25489 My048
ETG25489 ETG126308
ETG25489 PRED77
ETG25489 ETG148252
ETG25489 ETG170082
ETG25489 ETG7881
ETG25489 ETG284273
ETG25489 ETG5467
ETG25489 RP5-1187M17.9
ETG50688 ETG23327
ETG29381 ETG23327
ETG305123 ETG64550
ETG305123 ETG252855
ETG305123 ETG299331
ETG305123 ETG80846
ETG305123 ETG303518
ETG305123 ETG298066
ETG305123 ETG81822
ETG305123 ETG363854
ETG305123 ETG80846
ETG305123 ETG303518
ETG303518 ETG305123
ETG54302 ETG50522
ETG314856 ETG54302
ETG314856 ETG54302
ETG50522 ETG24577
ETG64639 ETG56011
ETG59109 ETG50522
ETG59109 ETG25581
ETG59109 ETG29448
ETG59109 ETG171293
ETG59109 ETG291983
ETG25081 ETG24530
ETG25022 BOS_8269
ETG25022 BOS_10961
ETG25054 ETG627
ETG25054 ETG4908
ETG50522 ETG2308
ETG21954 ETG290561
ETG21954 ETG24837
ETG290561 ETG290561
ETG25742 ETG81722
ETG81722 ETG25742
ETG290354 rCG_43821
ETG290354 rCG_43821
ETG290354 ETG315840
ETG290354 ETG81634
ETG290354 ETG63836
ETG290354 ETG25745
ETG60383 ETG25522
ETG60383 ETG25023
ETG25023 ETG60383
ETG314856 ETG24842
ETG314856 ETG24888
ETG314856 ETG50522
ETG50522 ETG25747
ETG314856 ETG25747
ETG314856 ETG25747
ETG314856 ETG25747
ETG25747 ETG314856
ETG25747 ETG314856
RP23-142F14.2 ETG116470
RP23-142F14.2 ETG81802
RP23-142F14.2 ETG81803
RP23-142F14.2 ETG25130
ETG25130 RP23-142F14.2
ETG116470 RP23-142F14.2
ETG81802 RP23-142F14.2
ETG81803 RP23-142F14.2
ETG116470 ETG25558
ETG81802 ETG25558
ETG25558 ETG116470
ETG25558 ETG81802
ETG25130 ETG25558
ETG25558 ETG25130
ETG81804 ETG116470
ETG81804 ETG81802
ETG116470 ETG81804
ETG81802 ETG81804
ETG116470 ETG25558
ETG81802 ETG25558
ETG25130 ETG25558
ETG25130 ETG81804
ETG81803 ETG25558
ETG29244 ETG29244
ETG171128 ETG29244
ETG12488 ETG29647
ETG12488 ETG64563
ETG316258 ETG64563
ETG64563 ETG29647
ETG64563 ETG29647
ETG64563 ETG316258
ETG64563 ETG311163
ETG64563 ETG483489
ETG64563 ETG483489
ETG64563 ETG474928
ETG64563 ETG474928
ETG64563 ETG403752
ETG64563 ETG611010
ETG474928 ETG64563
ETG4908 ETG24596
ETG4908 ETG24596
ETG4803 ETG24596
ETG18049 ETG24596
ETG314856 ETG301442
ETG81649 ETG315139
ETG315139 ETG81649
ETG116470 ETG25558
ETG81802 ETG25558
ETG25130 ETG25558
ETG24511 ETG24907
ETG24511 ETG313494
ETG24511 ETG360820
ETG24511 ETG25614
ETG24907 ETG24511
ETG24907 ETG313494
ETG24907 ETG114489
ETG24907 ETG25614
GS1-19O24.1 ETG24511
GS1-19O24.1 ETG25614
GS1-19O24.1 ETG362242
ETG24907 ETG81822
ETG24511 ETG81822
ETG29476 ETG54250
ETG17181 ETG29220
BOS_2065 ETG29220
ETG81646 ETG50522
ETG680127 ETG170538
ETG680127 ETG81749
ETG170538 ETG680127
ETG6753 ETG29365
ETG171044 ETG29365
ETG25388 ETG24176
ETG24176 ETG50522
ETG114856 ETG50522
ETG50522 ETG114856
ETG311245 ETG308362
ETG308362 ETG311245
ETG308362 ETG113894
ETG113894 ETG311245
ETG113894 ETG308362
ETG311245 ETG113894
ETG59109 ETG24596
ETG59109 ETG311245
ETG59109 ETG363836
ETG59109 ETG113894
ETG303285 ETG363836
ETG303285 ETG113894
ETG59109 ETG85385
ETG16924 ETG24337
ETG81518 ETG50522
ETG360471 ETG7874
ETG25262 ETG50522
ETG25262 ETG116643
ETG25262 ETG84478
ETG25262 ETG315608
ETG25122 ETG7316
ETG85273 ETG24408
ETG24521 ETG50522
ETG25489 ETG25576
ETG25489 ETG56011
ETG25489 ETG56010
ETG25489 ETG29753
ETG25489 ETG25577
ETG81922 ETG50522
ETG313024 ETG50522
ETG114901 ETG81922
ETG114901 ETG85238
ETG114901 ETG140694
ETG114901 ETG25751
ETG83497 ETG311567
ETG83497 ETG50522
ETG24766 ETG17999
ETG192269 ETG24842
ETG24842 ETG192269
ETG25467 ETG50522
ETG25467 ETG314856
ETG50522 ETG24329
ETG81736 ETG691496
ETG81736 ETG64627
ETG24392 ETG50522
ETG24329 ETG50522
ETG84353 ETG50522
ETG50522 ETG4609
ETG316258 ETG309696
ETG500985 ETG54251
ETG24392 ETG50522
ETG117277 ETG50522
ETG313474 ETG50522
ETG363445 ETG117277
ETG29495 ETG50522
ETG29495 ETG314856
ETG314856 ETG29495
ETG24680 ETG50522
ETG50522 ETG24680
ETG81515 ETG50522
ETG25150 ETG50522
ETG81515 ETG500985
ETG81515 ETG500985
ETG50522 ETG63879
ETG252971 ETG24514
ETG29357 ETG50522
ETG63868 ETG24887
ETG63868 ETG24888
ETG24887 ETG63868
ETG50522 ETG24888
ETG24874 ETG29452
ETG50522 ETG29452
ETG170509 ETG50522
ETG50522 ETG25387
ETG81515 ETG50522
ETG81515 ETG50522
ETG50522 ETG24860
ETG24860 ETG50522
ETG65204 ETG29437
ETG65204 ETG24680
ETG291609 ETG25489
ETG24954 ETG396838
ETG362817 ETG24525
ETG94201 ETG24525
ETG25729 ETG24525
ETG64033 ETG24525
ETG94201 ETG64033
ETG362817 ETG64033
ETG25729 ETG362817
ETG360643 ETG83502
ETG83502 ETG295052
ETG83502 ETG362817
ETG25262 ETG290823
ETG24231 ETG287670
ETG24231 ETG117263
ETG24231 ETG29677
ETG24231 ETG117262
ETG24231 ETG25581
ETG24231 ETG29550
ETG24231 ETG307821
ETG24231 ETG117512
ETG24231 ETG29670
ETG24231 ETG24237
ETG24231 ETG29673
ETG24231 ETG29672
ETG24231 ETG24232
ETG24231 ETG29666
ETG24231 ETG117517
ETG24231 rCG_26455
ETG2874 ETG117274
ETG117274 ETG403370
ETG81827 ETG29677
ETG81827 ETG307821
ETG29677 ETG307821
ETG29677 ETG287716
ETG24948 ETG50522
ETG25729 ETG362817
ETG25729 ETG291145
ETG362817 ETG291145
ETG54237 ETG291145
ETG295052 ETG291145
ETG117263 ETG81827
ETG117526 ETG81827
ETG117526 ETG117263
ETG117526 ETG25581
ETG81827 ETG117526
ETG81827 ETG117263
ETG81827 ETG25581
ETG25581 ETG117526
ETG25581 ETG81827
ETG25581 ETG81827
ETG117526 ETG81827
ETG117526 ETG25581
ETG117526 ETG117152
ETG117152 ETG81827
ETG117152 ETG25581
ETG117152 ETG117526
ETG25400 ETG81827
ETG29669 ETG25400
ETG29677 ETG25897
ETG29144 ETG29548
ETG29144 ETG81827
ETG29144 ETG24414
ETG29669 ETG29548
ETG29669 ETG81827
ETG29669 ETG24414
ETG361381 ETG5701
ETG361381 ETG815
ETG361381 ETG816
ETG361381 ETG5705
ETG81827 ETG815
ETG314856 ETG24842
ETG314856 ETG24842
ETG983 ETG116685
ETG891 ETG116685
ETG1017 ETG116685
ETG890 ETG116685
ETG24680 ETG24547
ETG24680 ETG691496
ETG24680 ETG690987
ETG24680 ETG24329
ETG117056 ETG117056
ETG81518 ETG58954
ETG25636 ETG81518
ETG81518 ETG363287
ETG24370 ETG362533
ETG362533 ETG24370
ETG266729 ETG691149
ETG266729 ETG298584
ETG25113 ETG113970
ETG113970 ETG25113
ETG500985 RP11-345L8.1
ETG24705 ETG500538
ETG24705 ETG114505
ETG24705 ETG24790
ETG500538 ETG24705
ETG114505 ETG24705
ETG24790 ETG24705
ETG500538 ETG114505
ETG500538 ETG24790
ETG114505 ETG500538
ETG114505 ETG24790
ETG24790 ETG500538
ETG24790 ETG114505
ETG57025 ETG313413
ETG12576 ETG25193
ETG1759 ETG25255
ETG24675 ETG273
ETG60668 ETG160
ETG60668 ETG1759
ETG308578 ETG273
ETG308578 ETG1759
ETG81504 ETG1759
ETG60668 ETG85238
ETG60668 ETG140694
ETG117028 ETG85238
ETG117028 ETG140694
ETG60668 ETG308709
ETG60668 ETG81637
ETG81650 BOS_11189
ETG29382 ETG305501
ETG24253 ETG6595
ETG24253 ETG6597
ETG24253 ETG6599
ETG24253 ETG6598
ETG24253 ETG8467
ETG24253 HSPC317
ETG24253 ETG54108
ETG24253 ETG54107
ETG24253 ETG54617
ETG24253 ETG6596
ETG24253 ETG5591
ETG24253 RP11-544M22.5
ETG24253 ETG7023
ETG24253 RP11-59I9.2
ETG24253 ETG7024
ETG24253 ETG7026
ETG24253 ETG3726
ETG24253 ETG3980
ETG24253 ETG6500
ETG24253 ETG11284
ETG24253 ETG11016
ETG24253 ETG7515
ETG24253 ETG2101
ETG24253 PP8000
ETG24253 ETG7182
ETG24253 ETG8625
ETG24253 ETG5983
ETG24253 ETG4673
ETG24253 RP5-1066H13.1
ETG24253 ETG4211
ETG24253 ETG6742
ETG24253 ETG4782
ETG24253 DADB-100D22.1
ETG24253 ETG54555
ETG24253 ETG5989
ETG24253 ETG387
ETG24253 ETG3148
ETG24253 ETG7913
ETG24253 ETG5885
ETG24253 ETG8099
ETG24253 ETG5441
ETG24253 ETG10179
ETG24253 RP4-547C9.3
ETG24253 ETG51341
ETG24253 CAGF28
ETG24253 RP11-545I5.1
ETG24253 ETG50485
ETG24253 HSPC317
ETG25620 LA16c-313D11.6
ETG25620 ETG50522
LA16c-313D11.6 ETG50522
ETG24812 ETG24811
ETG24812 ETG811
ETG24812 ETG2923
ETG24812 DADB-159G18.7
ETG24812 CDABP0067
ETG298012 ETG360543
ETG298012 ETG316740
ETG298012 ETG64701
ETG298012 ETG25596
ETG298012 ETG266759
ETG298012 ETG287670
ETG298012 ETG297593
ETG298012 ETG116643
ETG298012 ETG29677
ETG298012 rCG_26455
ETG298012 ETG291796
ETG298012 ETG50522
ETG116643 ETG297593
ETG298012 ETG498433
ETG298012 ETG29630
ETG298012 ETG287716
ETG298012 ETG25124
ETG298012 ETG171361
ETG298012 ETG29565
ETG298012 ETG140639
ETG298012 ETG84478
ETG298012 ETG83809
ETG298012 ETG293719
ETG298012 rCG_37297
ETG298012 ETG65138
ETG298012 ETG360853
ETG298012 ETG361585
ETG298012 ETG113894
ETG298012 ETG313658
ETG298012 ETG315771
ETG298012 ETG360471
ETG298012 ETG29275
ETG298012 ETG81822
ETG298012 ETG299850
ETG298012 ETG56781
ETG298012 ETG24851
ETG298012 ETG500450
ETG298012 ETG296369
ETG298012 ETG24838
ETG298012 ETG81818
ETG298012 ETG24383
ETG298012 ETG299052
ETG298012 ETG24191
ETG298012 ETG25630
ETG298012 ETG24849
ETG298012 ETG24265
ETG298012 ETG24248
ETG298012 ETG29221
ETG298012 ETG60335
ETG298012 ETG366189
ETG298012 ETG50671
ETG298012 ETG25380
ETG298012 ETG56611
ETG298012 ETG302328
ETG298012 ETG498174
ETG298012 ETG24387
ETG298012 ETG364694
ETG298012 ETG29220
ETG298012 ETG117254
ETG298012 ETG29338
ETG298012 ETG362969
ETG298012 ETG501621
ETG298012 ETG680102
ETG298012 ETG25309
ETG25481 ETG29246
ETG25481 ETG29332
ETG29332 ETG25481
ETG25614 ETG25414
ETG81672 ETG64158
ETG64158 ETG81672
ETG64158 ETG81672
rCG_20808 ETG81672
ETG81672 ETG64158
ETG116722 ETG24708
ETG500666 ETG64462
ETG308212 ETG64462
ETG499088 ETG64462
ETG500666 Dmel_CG2048
ETG308212 Dmel_CG2048
ETG499088 Dmel_CG2048
ETG500666 ETG25636
ETG308212 ETG25636
ETG499088 ETG25636
ETG500666 ETG24680
ETG308212 ETG24680
ETG499088 ETG24680
ETG500666 ETG24245
ETG308212 ETG24245
ETG500666 ETG2931
ETG500666 ETG83721
ETG308212 ETG83721
ETG499088 ETG83721
ETG500666 ETG303251
ETG308212 ETG303251
ETG499088 ETG303251
ETG500666 ETG303811
ETG308212 ETG303811
ETG499088 ETG303811
ETG500666 Dmel_CG18361
ETG308212 Dmel_CG18361
ETG499088 Dmel_CG18361
ETG500666 ETG690366
ETG308212 ETG690366
ETG499088 ETG690366
ETG500666 ETG289229
ETG308212 ETG289229
ETG499088 ETG289229
ETG500666 Dmel_CG8075
ETG308212 Dmel_CG8075
ETG499088 Dmel_CG8075
ETG308212 ETG59086
ETG308212 ETG84353
ETG499088 ETG84353
ETG308212 ETG311163
ETG500666 ETG311163
ETG308212 Dmel_CG17484
ETG500666 Dmel_CG17484
ETG499088 Dmel_CG17484
ETG308212 ETG161452
ETG308212 ETG24817
ETG308212 ETG171046
ETG308212 ETG297893
ETG500666 ETG297893
ETG308212 RP4-811H24.2
ETG500666 RP4-811H24.2
ETG500666 ETG51339
ETG499088 ETG51339
ETG500666 PP13671
ETG308212 PP13671
ETG500666 ETG147906
ETG308212 ETG147906
ETG499088 ETG147906
ETG25414 ETG25150
ETG24716 ETG316258
ETG316258 ETG24716
ETG161475 ETG170915
ETG500985 ETG81515
ETG500985 ETG25513
ETG25513 ETG500985
ETG500985 ETG24329
ETG64630 ETG56084
ETG25012 ETG56084
ETG171086 ETG56084
ETG56084 ETG171086
ETG25155 ETG867
ETG310461 ETG363287
ETG303882 ETG64465
ETG83709 ETG362738
ETG83709 ETG314764
ETG311245 ETG84351
ETG311245 ETG24681
ETG311245 ETG117268
ETG360514 ETG25596
ETG360514 ETG25596
ETG360514 ETG64701
ETG360514 ETG287670
ETG360514 ETG287772
ETG360514 ETG303353
ETG360514 rCG_26455
ETG303604 ETG56011
ETG303604 ETG29753
ETG303604 ETG56010
ETG303604 ETG25577
ETG303604 ETG25576
ETG303604 ETG25578
ETG303604 ETG287716
ETG287716 ETG114486
ETG287716 ETG303604
ETG303604 ETG287716
ETG303604 ETG287716
ETG81515 ETG81515
ETG81515 ETG2023
ETG84477 rCG_34296
ETG57509 ETG116689
ETG116689 ETG17196
ETG81516 ETG303614
ETG81516 ETG29591
ETG81516 ETG300813
ETG29591 ETG303614
ETG29591 ETG81516
ETG50592 ETG50522
ETG24408 ETG50522
ETG171415 ETG361321
ETG25353 ETG25152
ETG25353 ETG29456
ETG25152 ETG25353
ETG29456 ETG25353
LA16c-358B7.1 ETG140694
OK/SW-cl.43 ETG140694
ETG8554 ETG140694
ETG29274 ETG7321
ETG29274 ETG7316
ETG29274 ETG29274
ETG29274 ETG7321
ETG12234 ETG63840
RP23-94F11.1 ETG63840
ETG63840 ETG12234
ETG63840 RP23-94F11.1
ETG84607 ETG252971
ETG84607 ETG84607
ETG84607 ETG89829
ETG84607 ETG83681
PP1845 ETG24468
ETG24392 ETG25489
ETG24392 ETG292994
ETG24392 ETG115769
ETG24392 ETG25489
ETG140657 ETG83810
ETG140657 ETG83810
ETG83810 ETG140657
ETG362339 ETG50522
ETG362165 ETG50522
ETG361712 ETG362339
ETG362165 ETG361712
ETG361712 ETG362165
ETG362339 ETG361712
ETG361712 ETG362165
ETG303554 ETG84015
ETG303554 ETG140939
ETG303554 ETG365751
ETG303554 ETG113894
ETG7428 ETG64525
ETG7428 ETG64525
ETG7428 ETG81807
ETG24654 ETG64515
ETG24654 ETG64515
ETG64515 ETG24654
ETG24654 ETG50522
ETG84019 ETG54226
ETG58845 ETG5515
ETG58845 ETG5531
ETG58845 ETG51366
ETG24391 ETG24825
ETG56084 ETG25054
ETG60331 ETG64158
ETG64158 ETG60331
ETG116590 ETG24767
ETG116590 ETG24768
ETG25489 ETG24768
ETG81807 ETG64525
ETG81807 ETG25562
ETG24842 ETG50522
ETG24842 ETG314856
ETG363445 ETG312703
ETG312703 ETG363445
ETG24767 ETG25489
ETG25122 ETG25489
ETG24768 ETG25489
ETG24767 ETG25489
ETG24768 ETG25489
ETG25122 ETG25489
ETG25489 ETG25122
RP11-529H20.5 ETG291081
RP11-529H20.5 ETG64158
RP11-529H20.5 ETG296554
RP11-529H20.5 ETG313173
ETG110616 ETG291081
ETG110616 ETG64158
ETG110616 ETG25595
ETG110616 ETG296554
ETG110616 ETG24974
ETG110616 ETG313173
ETG110616 ETG116643
ETG110616 ETG29275
ETG110616 rCG_52205
ETG301555 ETG246757
ETG362356 ETG246757
rCG_58533 ETG246757
ETG29559 ETG246757
ETG246757 ETG50522
rCG_58533 ETG50522
ETG83571 ETG289508
ETG24383 ETG140941
ETG140941 ETG24383
ETG140941 ETG24383
ETG25508 ETG7316
PIG53 ETG24768
ETG23327 ETG24768
ETG24418 ETG140941
ETG24414 ETG140941
ETG78975 ETG23327
ETG78975 tcag7.78
ETG117277 ETG50522
ETG81022 ETG690244
ETG81022 ETG499417
ETG29562 ETG63879
ETG78948 ETG117265
ETG297570 ETG500006
ETG297570 ETG117265
ETG78948 ETG50522
ETG50522 ETG78948
ETG78948 ETG312703
ETG50522 ETG312703
ETG29495 ETG23024
ETG81516 ETG300813
ETG81516 ETG303614
ETG114208 ETG300813
ETG114208 ETG303614
ETG313757 ETG300813
ETG313757 ETG303614
ETG29591 ETG303614
ETG3320 ETG25747
ETG23327 ETG24768
ETG24842 ETG301442
ETG7189 ETG25387
ETG7189 ETG25388
ETG25248 ETG301442
ETG362849 ETG60562
ETG60562 ETG362849
ETG60562 ETG362849
ETG85327 ETG362849
ETG85421 CELE_F27D9.1
ETG24680 ETG291145
ETG25023 ETG291145
ETG170538 ETG291145
ETG29340 ETG291145
ETG25149 ETG84350
ETG25149 ETG25737
ETG84350 ETG25149
ETG25737 ETG25149
ETG25737 ETG84350
ETG84350 ETG25737
ETG114559 ETG5062
ETG114559 ETG5062
ETG25622 ETG24954
ETG24954 ETG25622
ETG25622 ETG25414
ETG950 ETG171494
ETG60383 ETG315713
ETG60383 ETG54244
ETG116590 ETG24547
ETG85385 ETG81504
ETG85385 ETG24329
ETG361677 ETG25573
ETG361677 ETG140926
ETG361677 ETG361370
ETG361677 ETG83422
ETG361677 ETG301442
ETG361677 ETG361677
ETG361677 ETG501625
ETG361677 rCG_34190
ETG361677 ETG50522
ETG361677 ETG306626
ETG361677 ETG691974
ETG361677 ETG94266
ETG361677 ETG25573
ETG361677 ETG140926
ETG361677 ETG301442
ETG361677 ETG361677
ETG361677 ETG83422
ETG361677 ETG25466
ETG361677 ETG25663
ETG361677 ETG25573
ETG361677 ETG83422
ETG361677 ETG301442
ETG293705 ETG29139
ETG29139 ETG293705
ETG29139 ETG50522
ETG64100 ETG25585
ETG64100 ETG25261
ETG64100 ETG25573
ETG6929 ETG25573
ETG64100 ETG25585
ETG64100 ETG25573
ETG83571 ETG24855
ETG116643 ETG116643
ETG116643 ETG116643
ETG116643 ETG116643
ETG24890 ETG81827
ETG24890 ETG84584
ETG24890 ETG117553
ETG117553 ETG24890
ETG54245 ETG25414
ETG116643 ETG84478
ETG116643 ETG83809
ETG116643 ETG29144
ETG116643 ETG24223
ETG116643 ETG50522
ETG24223 ETG50522
ETG24874 ETG6923
ETG24874 ETG6921
ETG29161 ETG117018
ETG74132 ETG65172
ETG24874 ETG1029
ETG24874 RP11-421P11.3
ETG65098 ETG29355
ETG29355 ETG65098
ETG5174 ETG246757
ETG5174 ETG192117
ETG5174 ETG29495
ETG24409 ETG29495
ETG24410 ETG29495
ETG24409 ETG25252
ETG24410 ETG25252
ETG64845 ETG25456
ETG25456 ETG64845
ETG64845 ETG25456
ETG64845 ETG25456
ETG25456 ETG29564
ETG64845 ETG29564
ETG25456 ETG29489
ETG64845 ETG29489
ETG64356 ETG687506
ETG64356 rCG_20808
ETG24400 ETG25398
ETG24400 ETG25398
RP11-55K22.6 ETG308718
ETG64354 ETG312916
ETG312916 ETG64354
RP4-773A18.7 ETG65023
RP4-773A18.7 ETG56817
RP4-773A18.7 ETG362799
RP4-773A18.7 ETG59326
RP4-773A18.7 ETG252857
ETG684755 ETG64528
ETG684755 ETG64528
ETG64528 ETG684755
ETG684755 ETG64528
ETG64528 ETG684755
ETG684755 ETG64528
ETG25327 ETG25252
ETG317371 ETG81824
ETG317371 ETG64632
ETG317371 ETG116654
ETG317371 ETG360854
ETG64632 ETG81824
ETG29365 ETG81651
ETG81651 ETG29365
ETG81651 ETG29365
ETG24811 DAQB-90C11.16-002
ETG24812 DAQB-90C11.16-002
ETG24811 CDABP0067
ETG24812 CDABP0067
ETG24811 CDABP0067
ETG24811 ETG811
ETG24811 ETG2923
ETG24811 ETG24812
ETG24812 ETG24812
ETG24598 CGI-25
CGI-25 ETG24598
ETG3741 ETG81830
ETG4831 ETG24400
ETG4831 ETG24400
ETG114711 ETG7704
ETG114711 ETG1400
ETG114711 ETG57670
ETG114711 ETG7704
ETG114711 ETG25415
ETG29619 RP4-811H24.2
ETG29619 ETG9759
ETG24842 ETG25405
ETG24842 ETG314856
ETG314856 ETG25405
ETG314856 ETG24842
ETG287942 ETG360820
ETG116554 ETG287942
ETG116554 ETG24516
ETG297176 ETG8379
ETG297176 RP1-261G23.6
ETG297176 ETG991
ETG297176 ETG4085
ETG297176 ETG9184
ETG50664 ETG7704
ETG50664 ETG7704
ETG50664 ETG7704
ETG50664 ETG353227
ETG353227 ETG50664
ETG7704 ETG50664
ETG7704 ETG50664
ETG3643 ETG252971
ETG3643 ETG307200
ETG3643 ETG25467
ETG117273 ETG22129
ETG22129 ETG83620
ETG24520 ETG24520
ETG24520 ETG24520
ETG25297 ETG5080
ETG25297 ETG5080
ETG25727 ETG362891
ETG25727 ETG362891
ETG25727 ETG216440
ETG25727 ETG216440
ETG216440 ETG25727
ETG25467 ETG83946
ETG83946 ETG25467
ETG362161 ETG55584
ETG362161 ETG55584
ETG55584 ETG362161
ETG4139 ETG25595
ETG25470 ETG299850
ETG25470 ETG29564
ETG160 ETG117277
ETG394300 ETG140694
ETG394300 ETG85238
ETG308578 ETG65178
ETG308578 ETG312694
ETG308578 ETG60668
ETG308578 ETG117277
ETG308578 ETG313474
ETG140670 ETG65178
ETG140670 ETG25388
ETG140670 ETG60668
ETG140670 ETG117277
ETG140670 ETG313474
ETG140670 ETG65178
ETG140670 ETG29491
ETG140670 ETG313934
ETG140670 ETG362965
ETG140670 ETG84479
ETG140670 ETG293684
ETG140670 ETG60668
ETG140670 ETG24468
ETG140670 ETG117277
ETG140670 ETG300250
ETG140670 ETG313474
ETG140670 ETG296344
ETG140670 ETG60443
ETG140670 ETG361677
ETG140670 ETG246310
ETG140670 ETG361370
ETG140670 ETG54241
ETG140670 ETG140694
ETG308578 ETG65178
ETG308578 ETG29491
ETG308578 ETG293684
ETG308578 ETG60668
ETG308578 ETG24468
ETG308578 ETG117277
ETG308578 ETG313474
ETG308578 ETG140694
ETG308578 ETG25751
ETG308578 ETG171574
ETG308578 ETG312694
ETG308578 ETG309010
ETG192152 ETG84685
ETG192152 ETG84685
ETG84685 ETG192152
ETG192152 ETG84685
ETG266606 ETG364823
ETG116681 ETG25152
ETG64145 ETG64516
ETG64145 ETG64516
ETG297994 ETG24468
ETG297994 ETG24703
ETG83800 ETG116643
ETG24592 ETG116643
ETG116643 ETG24592
ETG1410 ETG50522
ETG9531 ETG25420
ETG9531 ETG24468
ETG58974 ETG54241
ETG58974 ETG54241
ETG192245 ETG192245
